cityid,name,locality,cost,cuisine,votes,rating
82,Dindigul Thalappakatti,"Marathahalli, East Bangalore",800,"South Indian,  Biryani,  North Indian,  Chinese,  Seafood",5,4.5
82,Dindigul Thalappakatti,"Ramanashree Arcade,MG Road, Central Bangalore",800,"South Indian,  Biryani,  North Indian,  Chinese",72,4.5
82,Dindigul Thalappakatti,"Salarpuria Palladium,Indiranagar, East Bangalore",800,"South Indian,  Biryani,  North Indian,  Chinese",75,4.4
82,Doff Pub and Lounge,"Indiranagar, East Bangalore",1400,"North Indian,  Finger Food,  Chinese,  Continental",252,4.4
82,Dolci,"Cunningham Road, Central Bangalore",800,"Italian,  Desserts,  Coffee",6,4.7
82,Dot.Yum,"Aloft Hotel,Whitefield, East Bangalore",2000,"Multi-Cuisine,  North Indian,  Italian,  Continental",78,3.9
82,Dr Sheesha,"Banashankari, South Bangalore",800,"Italian,  Continental,  Chinese,  Coffee",22,4.2
82,Dr Sheesha,"Deepa Plaza,JP Nagar, South Bangalore",800,"Italian,  Continental,  Chinese",548,4.2
82,Dr Sheesha,"Marathahalli, East Bangalore",1200,"Italian,  Continental,  Chinese",134,4.2
82,Dr. Bubbles,"Jayanagar, South Bangalore",400,"Ice Cream,  Waffle,  Desserts",1,4
82,Dr. Sheesha,"BTM Layout, South Bangalore",900,"North Indian,  Chinese,  Continental,  Fast Food",17,3.7
82,Dr. Sheesha,"Rajajinagar, West Bangalore",600,"Italian,  North Indian,  Chinese",28,4.3
82,Drink And Dine,"Rajarajeshwari Nagar, West Bangalore",1400,"North Indian,  Italian,  Finger Food,  Chinese",53,4.3
82,Drunken Monkey,"Bannerghatta Road, South Bangalore",500,"Juice,  Fast Food",3,4.7
82,Drunken Monkey,"JP Nagar, South Bangalore",500,"Juice,  Fast Food",6,5
82,East Delicious,"Marathahalli, East Bangalore",500,"Chinese,  Thai",1,4
82,Eat Retreat,"Sarjapur Road, South Bangalore",500,North Indian,15,4.5
82,Eating Love,"Sarjapur Road, South Bangalore",700,"Italian,  Pizza",10,4.6
82,Ebony,"Hotel Ivory Tower,MG Road, Central Bangalore",2500,"North Indian,  Asian,  Thai,  Seafood",261,4.4
82,Elements Eatery,"Jayamahal Road, East Bangalore",1100,"Continental,  Italian",67,4.2
82,Elixir Kitchen & Bar,"KR Inn,KR Puram, East Bangalore",600,"North Indian,  Chinese",5,4.6
82,Empire Restaurant,"Bannerghatta Road, South Bangalore",700,"North Indian,  Kerala,  South Indian,  Seafood,  Biryani",71,3.2
82,Empire Restaurant,"Bellandur, South Bangalore",700,"North Indian,  Kerala,  South Indian,  Seafood,  Biryani",76,3.6
82,Empire Restaurant,"Brigade Road, Central Bangalore",700,"North Indian,  Kerala,  South Indian,  Seafood,  Biryani",50,3.6
82,Empire Restaurant,"Brookefields, East Bangalore",700,"North Indian,  Kerala,  South Indian,  Seafood,  Biryani",29,4.3
82,Empire Restaurant,"Church Street, Central Bangalore",700,"North Indian,  Kerala,  South Indian,  Seafood,  Biryani",65,3.8
82,Empire Restaurant,"Frazer Town, North Bangalore",700,"North Indian,  Kerala,  South Indian,  Seafood,  Biryani",64,3.8
82,Empire Restaurant,"HSR Layout, South Bangalore",700,"North Indian,  Kerala,  South Indian,  Seafood,  Biryani",90,3.8
82,Empire Restaurant,"Hotel Empire International,Koramangala, South Bangalore",700,"North Indian,  Kerala,  South Indian,  Seafood,  Biryani",75,3.5
82,Empire Restaurant,"Indiranagar, East Bangalore",700,"North Indian,  Kerala,  South Indian,  Seafood,  Biryani",106,4
82,Empire Restaurant,"Infantry Road, Central Bangalore",700,"North Indian,  Kerala,  South Indian,  Seafood,  Biryani",45,4
82,Empire Restaurant,"JP Nagar, South Bangalore",700,"North Indian,  Kerala,  South Indian,  Seafood,  Biryani",75,3.9
82,Empire Restaurant,"Jayanagar, South Bangalore",700,"North Indian,  Kerala,  South Indian,  Seafood,  Biryani",115,4
82,Empire Restaurant,"Kammanahalli, North Bangalore",700,"North Indian,  Kerala,  South Indian,  Seafood,  Biryani",64,3.8
82,Empire Restaurant,"Kunigal, Bangalore Mangalore Highway",700,"North Indian,  Kerala,  South Indian,  Seafood,  Biryani",8,3.9
82,Empire Restaurant,"Majestic, West Bangalore",700,"North Indian,  Kerala,  South Indian,  Seafood,  Biryani",58,4
82,Empire Restaurant,"Orion Mall,Rajajinagar, West Bangalore",700,"North Indian,  Kerala,  South Indian,  Seafood,  Biryani",8,3.3
82,Empire Restaurant,"RT Nagar, North Bangalore",700,"North Indian,  Kerala,  South Indian,  Seafood,  Biryani",86,4.2
82,Empire Restaurant,"Rajajinagar, West Bangalore",700,"North Indian,  Kerala,  South Indian,  Seafood,  Biryani",97,4
82,Empire Restaurant,"Seshadripuram, West Bangalore",700,"North Indian,  Kerala,  South Indian,  Seafood,  Biryani",50,3.9
82,Empire Restaurant,"Somanahalli, Mysore Highway",700,"North Indian,  Kerala,  South Indian,  Seafood,  Biryani",5,4.1
82,Empire Restaurant,"The Forum Mall,Koramangala, South Bangalore",700,"North Indian,  Kerala,  South Indian,  Seafood,  Biryani",4,3.6
82,Empire Restaurant,"VV Mohalla, North Mysore",700,"North Indian,  Kerala,  South Indian,  Seafood,  Biryani",22,3.9
82,Empire Restaurant,"Vasanth Nagar, Central Bangalore",700,"North Indian,  Kerala,  South Indian,  Seafood,  Biryani",42,3.7
82,Equinox Bar,"DoubleTree Suites by Hilton,Sarjapur Road, South Bangalore",2000,"Continental,  North Indian,  Seafood,  Asian,  Finger Food",10,4.3
82,Express By AB's,"BTM Layout, South Bangalore",400,"North Indian,  Barbecue",2,5
82,Express By AB's,"Kalyan Nagar, North Bangalore",400,"North Indian,  Barbecue",1,5
82,Express By AB's,"Marathahalli, East Bangalore",400,"North Indian,  Barbecue",1,4
82,Fab Cafe,"Pioneer Plaza,Rajarajeshwari Nagar, West Bangalore",600,"Coffee,  Continental",10,4
82,Fanoos,"Frazer Town, North Bangalore",400,North Indian,1,5
82,Fanoos Xprss,"Jayanagar, South Bangalore",600,North Indian,1,5
82,Farzi Cafe,"UB City,Vittal Mallya Road, Central Bangalore",1500,Modern Indian,890,4.3
82,Fat Buddha,"Vasanth Nagar, Central Bangalore",1200,"Chinese,  Thai",65,4.1
82,Fattoush," Hotel Euphoria,Bannerghatta Road, South Bangalore",1000,"North Indian,  Arabian,  Chinese",386,4.2
82,Feast,"Sheraton Grand Whitefield,Whitefield, East Bangalore",2000,"Multi-Cuisine,  North Indian,  Continental,  European,  Asian",463,4.6
82,Feast,"Sheraton Grand,Malleshwaram, West Bangalore",2000,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Asian",604,4.3
82,Feast India Co.,"Cunningham Road, Central Bangalore",1500,"Awadhi,  North Indian",16,3.8
82,Ferment,"Banashankari, South Bangalore",1000,Continental,122,4.2
82,Fire Station Bar & Kitchen,"Electronic City, South Bangalore",1100,"North Indian,  Continental",143,4.1
82,Fish & Fries,"HSR Layout, South Bangalore",800,"Continental,  Mediterranean,  Seafood",76,4.2
82,Five Star Chicken,"Kundalahalli, East Bangalore",300,Fast Food,1,2
82,Five Star Chicken,"Narendrappe Complex,Whitefield, East Bangalore",300,Fast Food,1,1
82,Five Star Chicken,"Poornima Complex,Whitefield, East Bangalore",300,Fast Food,1,5
82,Five Star Chicken,"Siddappa Complex,Kaggadasapura, East Bangalore",300,Fast Food,2,4.5
82,Flavors of India,"Bellandur, South Bangalore",1300,"North Indian,  South Indian",30,4.1
82,Flavours,"Radha Hometel Hotel,Whitefield, East Bangalore",1000,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  South Indian",6,4.1
82,Flavours,"Shravanthi Sarovar Portico,JP Nagar, South Bangalore",1000,"Continental,  North Indian,  South Indian",30,3.6
82,Flavours Of India,"Bhagini Icon Boutique Hotel,Indiranagar, East Bangalore",1400,"North Indian,  Chinese,  Mughlai",102,3.8
82,Float Brewery,"Kalyan Nagar, North Bangalore",1500,"European,  Asian,  North Indian,  Italian",177,4.1
82,Floating Cafe,"Chikkajala, North Bangalore",400,"Italian,  Indian Cuisine",1,5
82,Fogg Sheesha Lounge,"Koramangala, South Bangalore",1400,"Continental,  Chinese,  Drinks",82,4.1
82,Fresh Press Canteen,"JP Nagar, South Bangalore",500,Fast Food,1,5
82,Frost & Feather,"HSR Layout, South Bangalore",500,"Fast Food,  Pizza,  Shakes",2,4.5
82,Frozen Bottle,"Brookefield Mall,Brookefields, East Bangalore",400,"Shakes,  Desserts,  Ice Cream",1,5
82,Frozen Bottle,"Doddanekundi, East Bangalore",400,"Shakes,  Desserts,  Ice Cream",1,5
82,Frozen Bottle,"ETA Mall,Magadi Road, West Bangalore",400,"Shakes,  Desserts,  Ice Cream",1,4
82,Frozen Bottle,"Electronic City, South Bangalore",400,"Shakes,  Desserts,  Ice Cream",2,4.5
82,Frozen Bottle,"HSR Layout, South Bangalore",400,"Shakes,  Desserts,  Ice Cream",7,4.7
82,Frozen Bottle,"Indiranagar, East Bangalore",400,"Shakes,  Desserts,  Ice Cream",4,3.5
82,Frozen Bottle,"JP Nagar, South Bangalore",400,"Shakes,  Desserts,  Ice Cream",2,1.5
82,Frozen Bottle,"Kammanahalli, North Bangalore",400,"Shakes,  Desserts,  Ice Cream",2,3.5
82,Frozen Bottle,"Koramangala, South Bangalore",400,"Shakes,  Desserts,  Ice Cream",4,5
82,Frozenheit6,"Annapoorneshwari Nagar, West Bangalore",500,"Desserts,  Ice Cream",7,3.4
82,Frozenheit6,"Rajajinagar, West Bangalore",500,"Desserts,  Ice Cream",5,3
82,Fruit Face,"Malleshwaram, West Bangalore",400,"Fast Food,  Drinks,  Shakes",2,4
82,Gallop Bar,"Davanam Sarovar Portico Suites,Koramangala, South Bangalore",2400,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Thai,  Japanese",6,4.2
82,Gam's Delicacy,"Koramangala, South Bangalore",800,"Multi-Cuisine,  North Indian,  Chinese,  Assamese",21,4.6
82,Gawky Goose,"Murugeshpalya, East Bangalore",3000,"European,  Asian",6,4.5
82,Gelateria Montecatini Terme,"Indiranagar, East Bangalore",300,"Desserts,  Ice Cream,  Assamese",4,4.3
82,Gelateria Montecatini Terme,"Lavelle Road, Central Bangalore",300,"Desserts,  Ice Cream",1,4
82,Geometry Gastropub,"Malleshwaram, West Bangalore",1500,"North Indian,  Seafood,  Finger Food,  Continental,  Andhra,  Fast Food",75,4.2
82,Ging,"Royal Orchid Central Hotel,MG Road, Central Bangalore",2000,"Oriental ,  Thai,  Japanese,  Seafood,  Asian",129,4.4
82,Glen's Bake House,"Whitefield, East Bangalore",500,"Bakery and Confectionary,  Desserts",8,3.5
82,Glen's Bakehouse,"Koramangala, South Bangalore",800,"Multi-Cuisine,  Italian,  Continental,  Desserts,  Ice Cream,  Bakery and Confectionary",7,3.7
82,Go Italia,"HSR Layout, South Bangalore",800,"Italian,  Pizza",5,4.4
82,Go Native,"HSR Layout, South Bangalore",800,"Health Food,  Modern Indian,  South Indian,  Desserts",28,4.4
82,Go Native,"Jayanagar, South Bangalore",700,"Health Food,  Modern Indian",11,4.4
82,Go Native,"Lavelle Road, Central Bangalore",800,"Fast Food,  Health Food",5,4.8
82,Go Native,"Sadashiva Nagar, North Bangalore",700,Health Food,11,4.3
82,Godavari Delights,"Electronic City, South Bangalore",600,"Chinese,  Andhra,  Biryani",3,5
82,Gokul Kuteera,"Indiranagar, East Bangalore",700,"North Indian,  Chinese",7,3.8
82,Gokul Veg,"GR Plaza,Basavanagudi, South Bangalore",500,"North Indian,  Chinese",38,4.2
82,Gokul Veg,"RT Nagar, North Bangalore",500,"North Indian,  Chinese",8,3.9
82,Gokul Veg,"Yelahanka, North Bangalore",500,"North Indian,  Chinese",7,4.4
82,Golden Oak,"La Marvella Hotel,Jayanagar, South Bangalore",2000,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",99,4.2
82,Gopaljee Cafe,"Sarjapur Road, South Bangalore",300,"North Indian,  Street Food",2,3
82,Gosssip Pub,"Banashankari, South Bangalore",1000,North Indian,49,4.4
82,Gourmet,"Electronic City, South Bangalore",1000,"North Indian,  Italian,  Chinese,  Continental,  South Indian",4,4.7
82,Grand Desi Paratha,"Kanakapura Road, South Bangalore",700,North Indian,18,4.1
82,Grand Desi Paratha,"Rajarajeshwari Nagar, West Bangalore",700,North Indian,47,4.2
82,Great Room,"Old Madras Road, East Bangalore",800,"North Indian,  Continental",9,4
82,Green Onion,"Chandraprabha Complex,Residency Road, Central Bangalore",600,Chinese,97,4.4
82,Green Theory,"Residency Road, Central Bangalore",1000,"Italian,  Continental,  Tea",299,4.4
82,Grill Biryanis,"Jalahalli, North Bangalore",600,"North Indian,  Biryani",1,1
82,Grill House,"Rajarajeshwari Nagar, West Bangalore",300,Andhra,3,3.3
82,Gullu's Chat,"Seshadripuram, West Bangalore",300,Street Food,1,2
82,Guntur Spice,"HSR Layout, South Bangalore",400,"North Indian,  Seafood,  Chinese,  South Indian",2,4
82,Gurukrupa Paratha House,"Old Airport Road, East Bangalore",400,"North Indian,  Chinese",2,3.5
82,Haji Ali Juice Centre,"Nissa Enclave,Frazer Town, North Bangalore",400,"Desserts,  Ice Cream,  Shakes",2,3.5
82,Hakuna Matata,"JP Nagar, South Bangalore",1000,"North Indian,  Chinese,  Thai,  Seafood",755,4.6
82,Hammered,"Cunningham Road, Central Bangalore",1200,"North Indian,  Thai",1038,4.3
82,Hammered,"HSR Layout, South Bangalore",1200,Continental,346,4.1
82,Hammered,"New BEL Road, North Bangalore",1200,"North Indian,  Chinese",729,4.2
82,Hard Rock Cafe,"St. Marks Road, Central Bangalore",2500,"Multi-Cuisine,  Mediterranean,  American,  Modern Indian",351,4.4
82,Hard Rock Cafe,"Whitefield, East Bangalore",2500,"Multi-Cuisine,  Mexican",143,4.2
82,Hatti Punjab Di,"Koramangala, South Bangalore",700,"Chinese,  North Indian",15,3.3
82,Healthy Fuel,"Kalyan Nagar, North Bangalore",300,"Health Food,  Shakes",2,5
82,Hebe's Cafe,"HSR Layout, South Bangalore",500,"Italian,  Continental,  Fast Food",15,4.6
82,Herbs & Spices,"Whitefield, East Bangalore",1500,"North Indian,  Italian,  Thai",149,4.2
82,Hopshaus,"Whitefield, East Bangalore",1500,Continental,48,4.4
82,Hot Griddle,"Jayanagar, South Bangalore",1100,"North Indian,  Chinese,  Continental",49,3.9
82,Hotel Fanoos,"Richmond Town, Central Bangalore",500,"North Indian,  Arabian,  Biryani",3,1.9
82,Hotel Fishland,"Gandhi Nagar, West Bangalore",500,"Coastal,  Seafood,  Konkani",7,4
82,Hotel Fishland,"Majestic, West Bangalore",500,"North Indian,  Chinese,  Seafood,  Konkani",10,4.6
82,Hotel Godavari,"BTM Layout, South Bangalore",500,"North Indian,  Chinese",2,3
82,Hotel Godavari,"Brookefields, East Bangalore",500,"North Indian,  Chinese",4,3.2
82,Hotel Karavali Beach,"Seshadripuram, West Bangalore",500,"Mangalorean,  Seafood",2,3.5
82,Hotel The Emirates,"Madiwala, South Bangalore",600,"Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Arabian",1,5
82,House Of Lassi,"Bommanahalli, South Bangalore",300,"Shakes,  Ice Cream,  Fast Food",1,5
82,House of Commons,"HSR Layout, South Bangalore",1000,"Finger Food,  North Indian,  Italian,  Continental",536,4.4
82,House of Commons,"JP Nagar, South Bangalore",1400,"Finger Food,  North Indian,  Italian,  Continental",7,3.5
82,House of Commons,"Koramangala, South Bangalore",1400,"Finger Food,  North Indian,  Continental",326,4.4
82,Hunan,"Samruddhi Building,New BEL Road, North Bangalore",1600,"Chinese,  Thai,  Seafood",132,4.4
82,Hungry B,"Domlur, East Bangalore",400,"Multi-Cuisine,  North Indian,  Continental",13,4.5
82,Hungry Hippie,"Jatti Building,Koramangala, South Bangalore",800,"Fast Food,  Drinks",402,4.4
82,Hustle,"HSR Layout, South Bangalore",800,"Fast Food,  Contemporary Continental,  Italian",3,5
82,Hyderabad Chefs,"KBR Complex,Marathahalli, East Bangalore",800,"Hyderabadi,  North Indian,  Chinese,  Biryani",114,4
82,IHA,"Nagarbhavi, West Bangalore",300,South Indian,21,4.6
82,Ice Cream Lab,"Koramangala, South Bangalore",300,"Desserts,  Ice Cream",1,5
82,Ice Stone,"HSR Layout, South Bangalore",400,"Desserts,  Ice Cream",4,4.7
82,IceBreakers,"HSR Layout, South Bangalore",400,"Desserts,  Ice Cream,  Shakes",2,3.8
82,IceBreakers,"Koramangala, South Bangalore",400,"Desserts,  Ice Cream,  Shakes,  Waffle",1,5
82,Imli Cafe N Restaurant,"Indiranagar, East Bangalore",800,North Indian,108,4.1
82,Imperial Restaurant,"Indiranagar, East Bangalore",800,"Chinese,  North Indian,  Mughlai",8,3.6
82,Imperial Restaurant,"Koramangala, South Bangalore",800,"Chinese,  North Indian,  Mughlai",4,3.1
82,Imperial Restaurant,"Mysore Road, West Bangalore",800,"Chinese,  North Indian",7,4.3
82,Imperial Restaurant,"Residency Road, Central Bangalore",800,"Chinese,  North Indian,  Mughlai",8,3.8
82,Imperial Restaurant,"Saroja Square,Marathahalli, East Bangalore",800,"Chinese,  North Indian,  Shakes",2,4.4
82,Imperial Restaurant,"Shivaji Nagar, Central Bangalore",800,"Chinese,  North Indian,  Mughlai",4,3.7
82,Imperial Restaurant,"Vasanth Nagar, Central Bangalore",800,"Chinese,  North Indian,  Mughlai",6,3
82,Imperio Restaurant,"Apple City,Kadugodi, East Bangalore",700,"South Indian,  Biryani,  North Indian,  Seafood",13,3.3
82,Imperio Restaurant,"Brookefields, East Bangalore",700,"South Indian,  Biryani,  North Indian,  Seafood",15,3.9
82,Imperio Restaurant,"Kalyan Nagar, North Bangalore",700,"South Indian,  Biryani,  North Indian,  Seafood",22,3.7
82,Imperio Restaurant,"Whitefield, East Bangalore",700,"South Indian,  Biryani,  North Indian,  Seafood",8,2.9
82,Indian Paratha Factory,"HSR Layout, South Bangalore",300,North Indian,1,1
82,Indotalian II Cafe,"Sadashiva Nagar, North Bangalore",600,Fast Food,4,4.7
82,Infinitea,"Indiranagar, East Bangalore",1200,"Italian,  European,  Tea,  Desserts",82,4.5
82,Infinitea,"Shah Sultan Complex,Cunningham Road, Central Bangalore",1200,"Italian,  European,  Tea,  Desserts",92,4.4
82,Ithaca,"The Chancery Pavilion Hotel,Residency Road, Central Bangalore",2000,"European,  North Indian,  Italian,  Continental,  Seafood",83,3.8
82,JW Kitchen,"JW Marriott Hotel,Vittal Mallya Road, Central Bangalore",2500,"Multi-Cuisine,  North Indian,  Italian,  Continental,  South Indian,  Mediterranean,  European,  Asian",672,4.4
82,Jaffa's Biryani,"Venkataswamy Building,Marathahalli, East Bangalore",500,"North Indian,  Chinese,  Biryani",7,3.3
82,Jeff's,"Hotel Royal Orchid,Old Airport Road, East Bangalore",2500,Continental,27,4.2
82,Jetlag,"Rajajinagar, West Bangalore",1500,"Multi-Cuisine,  North Indian,  Continental,  South Indian,  Barbecue",371,4
82,Ji Hazoor,"Whitefield, East Bangalore",1000,"North Indian,  Mughlai,  Afghani",484,3.5
82,Juice Junction,"JP Nagar, South Bangalore",200,"Fast Food,  Juice",1,1
82,Juice Junction,"Wilson Garden, South Bangalore",200,"Fast Food,  Juice",1,5
82,JuiceMaker,"Vasanth Nagar, Central Bangalore",400,Fast Food,1,1
82,Just Shawarma,"Basaveshwara Nagar, West Bangalore",300,Lebanese,4,3.5
82,JustBe Cafe,"Sadashiva Nagar, North Bangalore",800,"Continental,  Health Food",146,4.3
82,KA 01,"Ibis Bengaluru City Centre,Richmond Town, Central Bangalore",1400,"North Indian,  Modern Indian",345,4.1
82,Kabab Mandra,"KR Puram, East Bangalore",400,North Indian,1,1
82,Kabab Mandra,"Mahadevapura, East Bangalore",400,North Indian,3,2.7
82,Kabab Mandra,"Sarjapur Road, South Bangalore",400,North Indian,3,3.7
82,Kabab Mandra,"Whitefield, East Bangalore",400,North Indian,2,3
82,Kababji Cafe,"Phoenix Marketcity,Whitefield, East Bangalore",500,Fast Food,2,3
82,Kafegram Food and Beverages,"Shanti Nagar, Central Bangalore",800,"Fast Food,  Bakery and Confectionary",2,5
82,Kalm Downn Bistro & Lounge,"Nagarbhavi, West Bangalore",800,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",27,3.9
82,Kanti Bakes & Flakes,"Sarjapur Road, South Bangalore",500,"Mithai,  Desserts",1,2.8
82,Kanti Bakes and Flakes,"Sahakara Nagar, North Bangalore",500,"Mithai,  Desserts",1,3
82,Kanti Bakes and Flakes,"Sobha Arcade,Bannerghatta Road, South Bangalore",500,"Mithai,  Desserts",1,5
82,Kanti Sweets,"Ashoka Complex,Jalahalli, North Bangalore",500,"Mithai,  Desserts",2,5
82,Kanti Sweets,"BTM Layout, South Bangalore",500,"Mithai,  Desserts",3,3.7
82,Kanti Sweets,"Banashankari, South Bangalore",500,"Mithai,  Desserts",6,4
82,Kanti Sweets,"Bannerghatta Road, South Bangalore",500,"Mithai,  Desserts",1,5
82,Kanti Sweets,"Basaveshwara Nagar, West Bangalore",500,"Mithai,  Desserts",3,4.7
82,Kanti Sweets,"Bellandur, South Bangalore",500,"Mithai,  Desserts",7,4.3
82,Kanti Sweets,"CV Raman Nagar, East Bangalore",500,"Mithai,  Desserts",5,3.6
82,Kanti Sweets,"Chandra Layout, West Bangalore",500,"Mithai,  Desserts",2,4
82,Kanti Sweets,"Cunningham Road, Central Bangalore",500,"Mithai,  Desserts",3,4.7
82,Kanti Sweets,"Doddaballapura, North Bangalore",500,"Mithai,  Desserts",1,3
82,Kanti Sweets,"Electronic City, South Bangalore",500,"Mithai,  Desserts",2,4
82,Kanti Sweets,"Ganga Complex,New BEL Road, North Bangalore",500,"Mithai,  Desserts",1,4
82,Kanti Sweets,"Ganga Nagar, North Bangalore",500,"Mithai,  Desserts",1,2.8
82,Kanti Sweets,"HSR Layout, South Bangalore",500,"Mithai,  Desserts",2,3
82,Kanti Sweets,"Hanumakka Patel Ramaiah Complex,Hennur, North Bangalore",500,"Mithai,  Desserts",1,4
82,Kanti Sweets,"Hennur, North Bangalore",500,"Mithai,  Desserts",1,1
82,Kanti Sweets,"Indiranagar, East Bangalore",500,"Mithai,  Desserts",4,4
82,Kanti Sweets,"JP Nagar, South Bangalore",500,"Mithai,  Desserts",1,1
82,Kanti Sweets,"Jalahalli, North Bangalore",500,Mithai,1,4
82,Kanti Sweets,"Jayanagar, South Bangalore",500,"Mithai,  Desserts",1,4
82,Kanti Sweets,"KR Puram, East Bangalore",500,"Mithai,  Desserts",1,3
82,Kanti Sweets,"Kaggadasapura, East Bangalore",500,"Mithai,  Desserts",5,4.2
82,Kanti Sweets,"Kammanahalli, North Bangalore",500,"Mithai,  Desserts",5,4.6
82,Kanti Sweets,"Kengeri, West Bangalore",500,"Mithai,  Desserts",3,4.7
82,Kanti Sweets,"Koramangala, South Bangalore",500,"Mithai,  Desserts",1,5
82,Kanti Sweets,"MRS Complex,Ramamurthy Nagar, East Bangalore",500,"Mithai,  Desserts",2,5
82,Kanti Sweets,"Magadi Road, West Bangalore",500,"Mithai,  Desserts",2,3.5
82,Kanti Sweets,"Mahadevapura, East Bangalore",500,"Mithai,  Desserts",5,5
82,Kanti Sweets,"Majestic, West Bangalore",500,"Mithai,  Desserts",1,2.8
82,Kanti Sweets,"Malleshwaram, West Bangalore",500,"Mithai,  Desserts",4,4.8
82,Kanti Sweets,"Marathahalli, East Bangalore",500,"Mithai,  Desserts",5,4.2
82,Kanti Sweets,"Mathikere, North Bangalore",500,"Mithai,  Desserts",4,3.9
82,Kanti Sweets,"Nagarbhavi, West Bangalore",500,"Mithai,  Desserts",2,5
82,Kanti Sweets,"Nagawara, North Bangalore",500,"Mithai,  Desserts",2,2.5
82,Kanti Sweets,"New BEL Road, North Bangalore",500,"Mithai,  Desserts",1,4
82,Kanti Sweets,"New Thippasandra, East Bangalore",500,"Mithai,  Desserts",1,5
82,Kanti Sweets,"Old Madras Road, East Bangalore",500,"Mithai,  Desserts",3,4
82,Kanti Sweets,"PGR Tower,HSR Layout, South Bangalore",500,"Mithai,  Desserts",4,5
82,Kanti Sweets,"Patel Complex,Sarjapur Road, South Bangalore",500,"Mithai,  Desserts",3,4
82,Kanti Sweets,"RT Nagar, North Bangalore",500,"Mithai,  Desserts",1,4
82,Kanti Sweets,"Rajajinagar, West Bangalore",500,"Mithai,  Desserts",3,3.7
82,Kanti Sweets,"Rajarajeshwari Nagar, West Bangalore",500,"Mithai,  Desserts",1,4
82,Kanti Sweets,"Renuka Complex,New Thippasandra, East Bangalore",500,"Mithai,  Desserts",2,5
82,Kanti Sweets,"SMK Complex,Yelahanka, North Bangalore",500,"Mithai,  Desserts",2,4
82,Kanti Sweets,"SNS Arcade,Murugeshpalya, East Bangalore",500,"Mithai,  Desserts",4,4.3
82,Kanti Sweets,"Sandeep Arcade,Kasturi Nagar, North Bangalore",500,"Mithai,  Desserts",3,4
82,Kanti Sweets,"Santosh Tower,Sanjay Nagar, North Bangalore",500,"Mithai,  Desserts",2,4.5
82,Kanti Sweets,"Sobha Arcade,Bannerghatta Road, South Bangalore",500,"Mithai,  Desserts",4,3.6
82,Kanti Sweets,"Srinivasa Building,Banaswadi, North Bangalore",500,"Mithai,  Desserts",2,4.3
82,Kanti Sweets,"St Patrick's Church Complex,Brigade Road, Central Bangalore",500,"Mithai,  Desserts",4,4.2
82,Kanti Sweets,"Uttarahalli, South Bangalore",500,"Mithai,  Desserts",3,4.7
82,Kanti Sweets,"VV Arcade,Kundalahalli, East Bangalore",500,"Mithai,  Desserts",2,4.5
82,Kanti Sweets,"Vasanth Nagar, Central Bangalore",500,"Mithai,  Desserts",1,2
82,Kanti Sweets,"Vidyaranyapura, North Bangalore",500,"Mithai,  Desserts",3,3.7
82,Kanti Sweets,"Vijay Nagar, West Bangalore",500,"Mithai,  Desserts",2,4.5
82,Kanti Sweets,"Yelahanka, North Bangalore",500,"Mithai,  Desserts",1,4.5
82,Kapoor's Cafe,"Electronic City, South Bangalore",700,North Indian,31,4.1
82,Kapoor's Cafe,"Rajarajeshwari Nagar, West Bangalore",800,"North Indian,  Mughlai",10,4.1
82,Karama,"Frazer Town, North Bangalore",800,"Arabian,  North Indian,  Seafood,  Pakistani",94,4.3
82,Kargeens,"Koramangala, South Bangalore",900,"Continental,  Italian,  Chinese",238,4.1
82,Kargeens,"New BEL Road, North Bangalore",900,"Italian,  Continental,  Coffee",127,4
82,Kava,"Fairfield by Marriott,Rajajinagar, West Bangalore",1200,"North Indian,  Continental,  South Indian",656,3.9
82,Kava Kitchen & Bar,"Fairfield By Marriott Bengaluru Whitefield,Whitefield, East Bangalore",1200,"North Indian,  Continental,  South Indian",521,3.9
82,Kenzai,"New BEL Road, North Bangalore",1500,"Chinese,  Japanese,  Korean",35,3.3
82,Khan Saheb Grills and Rolls,"Commercial Street, Central Bangalore",600,"North Indian,  Fast Food",2,4
82,Khan Saheb Grills and Rolls,"Jayanagar, South Bangalore",600,"North Indian,  Fast Food",14,4
82,Khan Saheb Grills and Rolls,"Mantri Square Mall,Malleshwaram, West Bangalore",600,"North Indian,  Fast Food",4,2.9
82,Khan Saheb Grills and Rolls,"Shiva Sai Complex,Indiranagar, East Bangalore",600,"North Indian,  Fast Food",9,3.9
82,Khan Saheb Grills and Rolls,"Whitefield, East Bangalore",600,"North Indian,  Fast Food",13,4.1
82,Khmer Kitchen,"JP Nagar, South Bangalore",1800,"Asian,  Oriental ,  Coffee",9,4.5
82,Kingdom Of Spices,"Bellandur, South Bangalore",400,"North Indian,  Chinese,  Mughlai",8,4.4
82,Kobe Sizzlers,"Koramangala, South Bangalore",1500,"American,  Sizzlers,  Continental",379,4.2
