train_no,train_name,source_station_code,destination_station_code
69106,ADI-ANND MEM,ADI,ANND
69107,BRC - ADI ME,BRC,ADI
69108,ADI-BRC MEMU,ADI,BRC
69109,ST-BRC MEMU,ST,BRC
69110,BRC-ST MEMU,BRC,ST
69111,ST-BRC MEMU,ST,BRC
69112,BRC - ST MEM,BRC,ST
69113,BRC-ADI MEMU,BRC,ADI
69114,ADI-BRC MEMU,ADI,BRC
69115,BRC-ADI MEMU,BRC,ADI
69116,ADI - ANND M,ADI,ANND
69121,BRC - GDA ME,BRC,GDA
69122,GDA - BRC ME,GDA,BRC
69123,ANND-GDA MEM,ANND,GDA
69124,GDA-ANND MEM,GDA,ANND
69125,ANND-GDA MEM,ANND,GDA
69126,GDA-ANND MEM,GDA,ANND
69127,ANND-ADI MEM,ANND,ADI
69128,ADI-ANND MEM,ADI,ANND
69129,ANND-ADI MEM,ANND,ADI
69130,ADI-ANND MEM,ADI,ANND
69137,BRC ANND MEM,BRC,ANND
69138,ANND BRC MEM,ANND,BRC
69139,BVI ST MEMU,BVI,ST
69140,SURAT VR,ST,VR
69145,ANAND GDA ME,ANND,GDA
69146,GODHRA ANND,GDA,ANND
69147,ANND GODHRA,ANND,GDA
69149,VIRAR BH,VR,BH
69150,BH VIRAR,BH,VR
69151,BL - ST MEMU,BL,ST
69152,ST  - BL MEM,ST,BL
69161,PNVL - DRD M,PNVL,DRD
69164,DRD - PNVL,DRD,PNVL
69165,PNVL - BSR M,PNVL,BSR
69166,BSR - PNVL M,BSR,PNVL
69167,PNVL - BSR M,PNVL,BSR
69168,BSR - PNVL M,BSR,PNVL
69169,ST - NDB MEM,ST,NDB
69171,ST - BH,ST,BH
69172,BH - ST,BH,ST
69173,VR DRD,VR,DRD
69174,DRD BVI  MEM,DRD,BVI
7146,TPTY-KCG,TPTY,KCG
7149,SC-GHY HSP,SC,GHY
71909,AGC-ETW-MNQ,AGC,ETW
71910,ETW-AGC DEMU,ETW,AGC
73429,BGP-JMP PGR,BGP,JMP
73430,JMP-BGP PGR,JMP,BGP
73911,SGG-JMP PGR.,SGG,JMP
73912,JMP-SGG PGR,JMP,SGG
73913,SGG-JMP PGR.,SGG,JMP
73914,JMP-SGG PGR,JMP,SGG
73916,JMP-SGG PGR,JMP,SGG
74001,DLI-RE DMU,DLI,RE
74002,RE-DLI DMU,RE,DLI
74003,DLI-RE DMU,DLI,RE
74004,RE-DLI DMU,RE,DLI
74021,DLI-SRE DMU,DLI,SRE
74022,HARIDWAR-DLI,SMQL,DLI
74023,DELHI-HARIDW,DLI,SMQL
74024,SREL-DLI DMU,SRE,DLI
74025,DELHI-SHAMLI,DLI,SMQL
74026,SHAMLI-DELHI,SMQL,DLI
7410,TPTY-AK,TPTY,AWB
7429,SC-TPTY,SC,TPTY
7430,TPTY-SC,TPTY,SC
74642,JUC-ASR,ASR,JUC
74643,JUC-ASR DMU,JUC,ASR
74644,ASR-JUC DMU,ASR,JUC
74647,LDH-JUC DMU,LDH,JUC
74648,JUC-NRO-LDH,JUC,LDH
74671,ASR-PTK DMU,ASR,PTK
74672,PTK-ASR DMU,PTK,ASR
74675,ASR-PTK DMU,ASR,PTK
74676,PTK-ASR DMU,PTK,ASR
74835,JU HSR PASS,JU,HSR
74836,HSR JU PASS,HSR,JU
74837,JU BLDI PASS,JU,PNU
74838,BLDI JU PASS,PNU,JU
74839,JU BME PASS,JU,BME
74840,BME JU PASS,BME,JU
74843,JU BME PASS,JU,BME
74844,BME JU PASS,BME,JU
74845,RE SDLP HSR,RE,HSR
74846,HSR SDLP RE,HSR,RE
