train_no,train_name,source_station_code,destination_station_code
98022,PL22,PNVL,CSTM
98023,PL19,CSTM,PNVL
98024,PL24,PNVL,CSTM
98025,PL21,CSTM,PNVL
98027,PL23,CSTM,PNVL
98028,PL26,PNVL,CSTM
98029,PL25,CSTM,PNVL
98030,PL28,PNVL,CSTM
98033,PL27,CSTM,PNVL
98034,PL30,PNVL,CSTM
98035,PL 29,CSTM,PNVL
98036,PL32,PNVL,CSTM
98037,PL 31,CSTM,PNVL
98038,PL34,PNVL,CSTM
98039,PL 33,CSTM,PNVL
98041,PL 35,CSTM,PNVL
98042,PL36,PNVL,CSTM
98043,PL 37,CSTM,PNVL
98044,PL38,PNVL,CSTM
98045,PL 39,CSTM,PNVL
98046,PL40,PNVL,CSTM
98047,PL 41,CSTM,PNVL
98048,PL42,PNVL,CSTM
98049,PL43,CSTM,PNVL
98050,PL44,PNVL,CSTM
98052,PL46,PNVL,CSTM
98053,PL45,CSTM,PNVL
98054,PL48,PNVL,CSTM
98055,PL 47,CSTM,PNVL
98056,PL50,PNVL,CSTM
98057,PL 49,CSTM,PNVL
98058,PL52,PNVL,CSTM
98059,PL 51,CSTM,PNVL
98060,PL54,PNVL,CSTM
98061,PL53,CSTM,PNVL
98062,PL56,PNVL,CSTM
98063,PL 55,CSTM,PNVL
98064,PL58,PNVL,CSTM
98065,PL57,CSTM,PNVL
98066,PL60,PNVL,CSTM
98067,PL59,CSTM,PNVL
98068,PL62,PNVL,CSTM
98069,PL 61,CSTM,PNVL
98070,PL64,PNVL,CSTM
98071,PL 63,CSTM,PNVL
98072,PL66,PNVL,CSTM
98073,PL 65,CSTM,PNVL
98074,PL68,PNVL,CSTM
98075,PL67,CSTM,PNVL
98076,PL70,PNVL,CSTM
98077,PL69,CSTM,PNVL
98078,PL72,PNVL,CSTM
98079,PL71,CSTM,PNVL
98080,PL74,PNVL,CSTM
98081,PL73,CSTM,PNVL
98082,PL76,PNVL,CSTM
98084,PL78,PNVL,CSTM
98085,PL 75,CSTM,PNVL
98087,PL 77,CSTM,PNVL
98088,PL82,PNVL,CSTM
98089,PL 79,CSTM,PNVL
98090,PL84,PNVL,CSTM
98091,PL 81,CSTM,PNVL
98092,PL86,PNVL,CSTM
98093,PL83,CSTM,PNVL
98094,PL88,PNVL,CSTM
98095,PL85,CSTM,PNVL
98096,PL90,PNVL,CSTM
98097,PL87,CSTM,PNVL
98098,PL92,PNVL,CSTM
98099,PL89,CSTM,PNVL
98100,PL94,PNVL,CSTM
98101,PL91,CSTM,PNVL
98102,PL96,PNVL,CSTM
98104,PL98,PNVL,CSTM
98105,PL 93,CSTM,PNVL
98106,PL100,PNVL,CSTM
98107,PL 95,CSTM,PNVL
98108,PL102,PNVL,CSTM
98109,PL 97,CSTM,PNVL
98110,PL104,PNVL,CSTM
98111,PL 99,CSTM,PNVL
98112,PL106,PNVL,CSTM
98113,PL 101,CSTM,PNVL
98114,PL108,PNVL,CSTM
98115,PL 103,CSTM,PNVL
98116,PL110,PNVL,CSTM
98117,PL 105,CSTM,PNVL
98118,PL112,PNVL,CSTM
98119,PL 107,CSTM,PNVL
98120,PL114,PNVL,CSTM
98121,PL 109,CSTM,PNVL
98122,PL116,PNVL,CSTM
98123,PL 111,CSTM,PNVL
98124,PL118,PNVL,CSTM
98125,PL113,CSTM,PNVL
98126,PL120,PNVL,CSTM
98127,PL115,CSTM,PNVL
98128,PL122,PNVL,CSTM
98129,PL117,CSTM,PNVL
98130,PL124,PNVL,CSTM
98131,PL119,CSTM,PNVL
98132,PL126,PNVL,CSTM
98135,PL121,CSTM,PNVL
98136,PL128,PNVL,CSTM
98137,PL123,CSTM,PNVL
98138,PL130,PNVL,CSTM
98139,PL125,CSTM,PNVL
98140,PL132,PNVL,CSTM
98141,PL127,CSTM,PNVL
98142,PL134,PNVL,CSTM
98145,PL129,CSTM,PNVL
98146,PL136,PNVL,CSTM
98147,PL131,CSTM,PNVL
98148,PL138,PNVL,CSTM
98150,PL140,PNVL,CSTM
98151,PL 133,CSTM,PNVL
98152,PL142,PNVL,CSTM
98153,PL 135,CSTM,PNVL
98154,PL144,PNVL,CSTM
98155,PL 137,CSTM,PNVL
98156,PL146,PNVL,CSTM
98157,PL139,CSTM,PNVL
98158,PL148,PNVL,CSTM
98159,PL141,CSTM,PNVL
98160,PL150,PNVL,CSTM
98161,PL143,CSTM,PNVL
98162,PL152,PNVL,CSTM
98163,PL145,CSTM,PNVL
98164,PL154,PNVL,CSTM
98165,PL147,CSTM,PNVL
98168,PL156,PNVL,CSTM
98169,PL149,CSTM,PNVL
98170,PL158,PNVL,CSTM
98171,PL151,CSTM,PNVL
98172,PL160,PNVL,CSTM
98174,PL162,PNVL,CSTM
98175,PL153,CSTM,PNVL
98176,PL164,PNVL,CSTM
98178,PL166,PNVL,CSTM
98179,PL155,CSTM,PNVL
98180,PL168,PNVL,CSTM
98182,PL170,PNVL,CSTM
98183,PL157,CSTM,PNVL
98184,PL172,PNVL,CSTM
98185,PL 159,CSTM,PNVL
98186,PL174,PNVL,CSTM
98188,PL176,PNVL,CSTM
98189,PL 161,CSTM,PNVL
98190,PL178,PNVL,CSTM
98191,PL 163,CSTM,PNVL
98192,PL180,PNVL,CSTM
98193,PL 165,CSTM,PNVL
98194,PL182,PNVL,CSTM
98195,PL 167,CSTM,PNVL
98197,PL 169,CSTM,PNVL
98198,PL184,PNVL,CSTM
98199,PL 171,CSTM,PNVL
98201,PL 173,CSTM,PNVL
98202,PL186,PNVL,CSTM
98203,PL175,CSTM,PNVL
98204,PL188,PNVL,CSTM
98205,PL 177,CSTM,PNVL
98207,PL 179,CSTM,PNVL
98209,PL 181,CSTM,PNVL
98211,PL 183,CSTM,PNVL
98213,PL185,CSTM,PNVL
98215,PL187,CSTM,PNVL
99000,TPL2,PNVL,TNA
99001,TPL1,TNA,PNVL
99002,TPL4,PNVL,TNA
99003,T PL3,TNA,PNVL
99004,TPL6,PNVL,TNA
99005,T PL5,TNA,PNVL
99006,TPL8,PNVL,TNA
99007,TPL 7,TNA,PNVL
99008,TPL10,PNVL,TNA
99009,TPL 9 L/SPL,TNA,PNVL
99010,TPL12,PNVL,TNA
99011,TPL 11,TNA,PNVL
99012,TPL14,PNVL,TNA
99013,T PL 13,TNA,PNVL
99014,TPL16,PNVL,TNA
99015,TPL 15,TNA,PNVL
99016,TPL18,PNVL,TNA
99017,TPL 17,TNA,PNVL
99018,TPL20,PNVL,TNA
99019,TPL 19,TNA,PNVL
99020,TPL22,PNVL,TNA
99021,TPL 21,TNA,PNVL
99022,TPL24,PNVL,TNA
99023,TPL 23,TNA,PNVL
99024,TPL26,PNVL,TNA
99025,TPL 25,TNA,PNVL
99026,TPL28,PNVL,TNA
99027,TPL 27,TNA,PNVL
99028,TPL30,PNVL,TNA
99029,TPL 29,TNA,PNVL
99030,TPL32,PNVL,TNA
99031,TPL 31,TNA,PNVL
99032,TPL34,PNVL,TNA
99033,TPL 33,TNA,PNVL
99034,TPL36,PNVL,TNA
99035,TPL 35,TNA,PNVL
99036,TPL38,PNVL,TNA
99037,TPL 37,TNA,PNVL
99038,TPL40,PNVL,TNA
99039,TPL39,TNA,PNVL
99040,TPL42,PNVL,TNA
99041,TPL41,TNA,PNVL
99042,TPL44,PNVL,TNA
