cityid,cityname,state
208,Ichalkaranji,Maharashtra
209,Imphal,Manipur
210,Indore,Madhya Pradesh
211,Itarsi,Madhya Pradesh
212,Jabalpur,Madhya Pradesh
213,Jagdalpur,Chhattisgarh
214,Jaggaiahpet,Andhra Pradesh
215,Jagraon,Punjab
216,Jagtial,Telangana
217,Jaipur,Rajasthan
218,Jalandhar,Punjab
219,Jalandhar Cantt.,Punjab
220,Jalpaiguri,West Bengal
221,Jamalpur,Bihar
222,Jammalamadugu,Andhra Pradesh
223,Jammu,Jammu and Kashmir
224,Jamnagar,Gujarat
225,Jamshedpur,Jharkhand
226,Jamui,Bihar
227,Jangaon,Telangana
228,Jatani,Odisha
229,Jehanabad,Bihar
230,Jhansi,Uttar Pradesh
231,Jhargram,West Bengal
232,Jharsuguda,Odisha
233,Jhumri Tilaiya,Jharkhand
234,Jind,Haryana
235,Jodhpur,Rajasthan
236,Jorhat,Assam
237,Kadapa,Andhra Pradesh
238,Kadi,Gujarat
239,Kadiri,Andhra Pradesh
240,Kagaznagar,Telangana
241,Kailasahar,Tripura
242,Kaithal,Haryana
243,Kakinada,Andhra Pradesh
244,Kalimpong,West Bengal
245,Kalpi,Uttar Pradesh
246,Kalyan-Dombivali,Maharashtra
247,Kamareddy,Telangana
248,Kancheepuram,Tamil Nadu
249,Kandukur,Andhra Pradesh
250,Kanhangad,Kerala
251,Kannur,Kerala
252,Kanpur,Uttar Pradesh
253,Kapadvanj,Gujarat
254,Kapurthala,Punjab
255,Karaikal,Puducherry
256,Karimganj,Assam
257,Karimnagar,Telangana
258,Karjat,Maharashtra
259,Karnal,Haryana
260,Karur,Tamil Nadu
261,Karwar,Karnataka
262,Kasaragod,Kerala
263,Kashipur,Uttarakhand
264,KathUrban Agglomeration,Jammu and Kashmir
265,Katihar,Bihar
266,Kavali,Andhra Pradesh
267,Kayamkulam,Kerala
268,Kendrapara,Odisha
269,Kendujhar,Odisha
270,Keshod,Gujarat
271,Khair,Uttar Pradesh
272,Khambhat,Gujarat
273,Khammam,Telangana
274,Khanna,Punjab
275,Kharagpur,West Bengal
276,Kharar,Punjab
277,Khowai,Tripura
278,Kishanganj,Bihar
279,Kochi,Kerala
280,Kodungallur,Kerala
281,Kohima,Nagaland
282,Kolar,Karnataka
283,Kolkata,West Bengal
284,Kollam,Kerala
285,Koratla,Telangana
286,Korba,Chhattisgarh
287,Kot Kapura,Punjab
288,Kothagudem,Telangana
289,Kottayam,Kerala
290,Kovvur,Andhra Pradesh
291,Koyilandy,Kerala
292,Kozhikode,Kerala
293,Kunnamkulam,Kerala
294,Kurnool,Andhra Pradesh
295,Kyathampalle,Telangana
296,Lachhmangarh,Rajasthan
297,Ladnu,Rajasthan
298,Ladwa,Haryana
299,Lahar,Madhya Pradesh
300,Laharpur,Uttar Pradesh
301,Lakheri,Rajasthan
302,Lakhimpur,Uttar Pradesh
303,Lakhisarai,Bihar
304,Lakshmeshwar,Karnataka
305,Lal Gopalganj Nindaura,Uttar Pradesh
306,Lalganj,Uttar Pradesh
307,Lalganj,Bihar
308,Lalgudi,Tamil Nadu
309,Lalitpur,Uttar Pradesh
310,Lalsot,Rajasthan
311,Lanka,Assam
312,Lar,Uttar Pradesh
313,Lathi,Gujarat
314,Latur,Maharashtra
315,Lilong,Manipur
316,Limbdi,Gujarat
317,Lingsugur,Karnataka
318,Loha,Maharashtra
319,Lohardaga,Jharkhand
320,Lonar,Maharashtra
321,Lonavla,Maharashtra
322,Longowal,Punjab
323,Loni,Uttar Pradesh
324,Losal,Rajasthan
325,Lucknow,Uttar Pradesh
326,Ludhiana,Punjab
327,Lumding,Assam
328,Lunawada,Gujarat
329,Lunglei,Mizoram
330,Macherla,Andhra Pradesh
331,Machilipatnam,Andhra Pradesh
332,Madanapalle,Andhra Pradesh
333,Maddur,Karnataka
334,Madhepura,Bihar
335,Madhubani,Bihar
336,Madhugiri,Karnataka
337,Madhupur,Jharkhand
338,Madikeri,Karnataka
339,Madurai,Tamil Nadu
340,Magadi,Karnataka
341,Mahad,Maharashtra
342,Mahalingapura,Karnataka
343,Maharajganj,Bihar
344,Maharajpur,Madhya Pradesh
345,Mahasamund,Chhattisgarh
346,Mahbubnagar,Telangana
347,Mahe,Puducherry
348,Mahemdabad,Gujarat
349,Mahendragarh,Haryana
350,Mahesana,Gujarat
351,Mahidpur,Madhya Pradesh
352,Mahnar Bazar,Bihar
353,Mahuva,Gujarat
354,Maihar,Madhya Pradesh
355,Mainaguri,West Bengal
356,Makhdumpur,Bihar
357,Makrana,Rajasthan
358,Malaj Khand,Madhya Pradesh
359,Malappuram,Kerala
360,Malavalli,Karnataka
361,Malda,West Bengal
362,Malegaon,Maharashtra
363,Malerkotla,Punjab
364,Malkangiri,Odisha
365,Malkapur,Maharashtra
366,Malout,Punjab
367,Malpura,Rajasthan
368,Malur,Karnataka
369,Manachanallur,Tamil Nadu
370,Manasa,Madhya Pradesh
371,Manavadar,Gujarat
372,Manawar,Madhya Pradesh
373,Mancherial,Telangana
374,Mandalgarh,Rajasthan
375,Mandamarri,Telangana
376,Mandapeta,Andhra Pradesh
377,Mandawa,Rajasthan
378,Mandi,Himachal Pradesh
379,Mandi Dabwali,Haryana
380,Mandideep,Madhya Pradesh
381,Mandla,Madhya Pradesh
382,Mandsaur,Madhya Pradesh
383,Mandvi,Gujarat
384,Mandya,Karnataka
385,Manendragarh,Chhattisgarh
386,Maner,Bihar
387,Mangaldoi,Assam
388,Mangaluru,Karnataka
389,Mangalvedhe,Maharashtra
390,Manglaur,Uttarakhand
391,Mangrol,Rajasthan
392,Mangrol,Gujarat
393,Mangrulpir,Maharashtra
394,Manihari,Bihar
395,Manjlegaon,Maharashtra
396,Mankachar,Assam
397,Manmad,Maharashtra
398,Mansa,Punjab
399,Mansa,Gujarat
400,Manuguru,Telangana
401,Manvi,Karnataka
402,Manwath,Maharashtra
403,Mapusa,Goa
404,Margao,Goa
405,Margherita,Assam
406,Marhaura,Bihar
407,Mariani,Assam
408,Marigaon,Assam
409,Markapur,Andhra Pradesh
410,Marmagao,Goa
411,Masaurhi,Bihar
412,Mathabhanga,West Bengal
413,Mathura,Uttar Pradesh
414,Mattannur,Kerala
415,Mauganj,Madhya Pradesh
416,Mavelikkara,Kerala
417,Mavoor,Kerala
418,Mayang Imphal,Manipur
419,Medak,Telangana
420,Medininagar (Daltonganj),Jharkhand
421,Medinipur,West Bengal
422,Meerut,Uttar Pradesh
423,Mehkar,Maharashtra
424,Memari,West Bengal
425,Merta City,Rajasthan
426,Mhaswad,Maharashtra
427,Mhow Cantonment,Madhya Pradesh
428,Mhowgaon,Madhya Pradesh
429,Mihijam,Jharkhand
430,Mira-Bhayandar,Maharashtra
431,Mirganj,Bihar
432,Miryalaguda,Telangana
433,Modasa,Gujarat
434,Modinagar,Uttar Pradesh
435,Moga,Punjab
436,Mohali,Punjab
437,Mokameh,Bihar
438,Mokokchung,Nagaland
439,Monoharpur,West Bengal
440,Moradabad,Uttar Pradesh
441,Morena,Madhya Pradesh
442,"Morinda, India",Punjab
443,Morshi,Maharashtra
444,Morvi,Gujarat
445,Motihari,Bihar
446,Motipur,Bihar
447,Mount Abu,Rajasthan
448,Mudabidri,Karnataka
449,Mudalagi,Karnataka
450,Muddebihal,Karnataka
451,Mudhol,Karnataka
452,Mukerian,Punjab
453,Mukhed,Maharashtra
454,Muktsar,Punjab
455,Mul,Maharashtra
456,Mulbagal,Karnataka
457,Multai,Madhya Pradesh
458,Mumbai,Maharashtra
459,Mundargi,Karnataka
460,Mundi,Madhya Pradesh
461,Mungeli,Chhattisgarh
462,Munger,Bihar
463,Murliganj,Bihar
464,Murshidabad,West Bengal
465,Murtijapur,Maharashtra
466,Murwara (Katni),Madhya Pradesh
467,Musabani,Jharkhand
468,Mussoorie,Uttarakhand
469,Muvattupuzha,Kerala
470,Muzaffarpur,Bihar
471,Mysore,Karnatka
472,Nabadwip,West Bengal
473,Nabarangapur,Odisha
474,Nabha,Punjab
475,Nadbai,Rajasthan
476,Nadiad,Gujarat
477,Nagaon,Assam
478,Nagapattinam,Tamil Nadu
479,Nagar,Rajasthan
480,Nagari,Andhra Pradesh
481,Nagarkurnool,Telangana
482,Nagaur,Rajasthan
483,Nagda,Madhya Pradesh
484,Nagercoil,Tamil Nadu
485,Nagina,Uttar Pradesh
486,Nagla,Uttarakhand
487,Nagpur,Maharashtra
488,Nahan,Himachal Pradesh
489,Naharlagun,Arunachal Pradesh
490,Naidupet,Andhra Pradesh
491,Naihati,West Bengal
492,Naila Janjgir,Chhattisgarh
493,Nainital,Uttarakhand
494,Nainpur,Madhya Pradesh
495,Najibabad,Uttar Pradesh
496,Nakodar,Punjab
497,Nakur,Uttar Pradesh
498,Nalbari,Assam
499,Namagiripettai,Tamil Nadu
500,Namakkal,Tamil Nadu
501,Nanded-Waghala,Maharashtra
502,Nandgaon,Maharashtra
503,Nandivaram-Guduvancheri,Tamil Nadu
504,Nandura,Maharashtra
505,Nandurbar,Maharashtra
506,Nandyal,Andhra Pradesh
507,Nangal,Punjab
508,Nanjangud,Karnataka
509,Nanjikottai,Tamil Nadu
510,Nanpara,Uttar Pradesh
511,Narasapuram,Andhra Pradesh
512,Narasaraopet,Andhra Pradesh
513,Naraura,Uttar Pradesh
514,Narayanpet,Telangana
515,Nargund,Karnataka
516,Narkatiaganj,Bihar
517,Narkhed,Maharashtra
518,Narnaul,Haryana
519,Narsinghgarh,Madhya Pradesh
520,Narsinghgarh,Madhya Pradesh
521,Narsipatnam,Andhra Pradesh
522,Narwana,Haryana
523,Nashik,Maharashtra
524,Nasirabad,Rajasthan
525,Natham,Tamil Nadu
526,Nathdwara,Rajasthan
527,Naugachhia,Bihar
528,Naugawan Sadat,Uttar Pradesh
529,Nautanwa,Uttar Pradesh
530,Navalgund,Karnataka
531,Navsari,Gujarat
532,Nawabganj,Uttar Pradesh
533,Nawada,Bihar
534,Nawanshahr,Punjab
535,Nawapur,Maharashtra
536,Nedumangad,Kerala
537,Neem-Ka-Thana,Rajasthan
538,Neemuch,Madhya Pradesh
539,Nehtaur,Uttar Pradesh
540,Nelamangala,Karnataka
541,Nellikuppam,Tamil Nadu
542,Nellore,Andhra Pradesh
543,Nepanagar,Madhya Pradesh
544,New Delhi,Delhi
545,Neyveli (TS),Tamil Nadu
546,Neyyattinkara,Kerala
547,Nidadavole,Andhra Pradesh
548,Nilambur,Kerala
549,Nilanga,Maharashtra
550,Nimbahera,Rajasthan
551,Nirmal,Telangana
552,Niwai,Uttar Pradesh
553,Niwari,Madhya Pradesh
554,Nizamabad,Telangana
555,Nohar,Rajasthan
556,Noida,Uttar Pradesh
557,Nokha,Rajasthan
558,Nokha,Bihar
559,Nongstoin,Meghalaya
560,Noorpur,Uttar Pradesh
561,North Lakhimpur,Assam
562,Nowgong,Madhya Pradesh
563,Nowrozabad (Khodargama),Madhya Pradesh
