cityid,cityname,state
897,"Shahabad, Hardoi",Uttar Pradesh
898,"Shahabad, Rampur",Uttar Pradesh
899,Shahade,Maharashtra
900,Shahbad,Haryana
901,Shahdol,Madhya Pradesh
902,Shahganj,Uttar Pradesh
903,Shahjahanpur,Uttar Pradesh
904,Shahpur,Karnataka
905,Shahpura,Rajasthan
906,Shahpura,Rajasthan
907,Shajapur,Madhya Pradesh
908,Shamgarh,Madhya Pradesh
909,Shamli,Uttar Pradesh
910,"Shamsabad, Agra",Uttar Pradesh
911,"Shamsabad, Farrukhabad",Uttar Pradesh
912,Shegaon,Maharashtra
913,Sheikhpura,Bihar
914,Shendurjana,Maharashtra
915,Shenkottai,Tamil Nadu
916,Sheoganj,Rajasthan
917,Sheohar,Bihar
918,Sheopur,Madhya Pradesh
919,Sherghati,Bihar
920,Sherkot,Uttar Pradesh
921,Shiggaon,Karnataka
922,Shikaripur,Karnataka
923,"Shikarpur, Bulandshahr",Uttar Pradesh
924,Shikohabad,Uttar Pradesh
925,Shillong,Meghalaya
926,Shimla,Himachal Pradesh
927,Shirdi,Maharashtra
928,Shirpur-Warwade,Maharashtra
929,Shirur,Maharashtra
930,Shishgarh,Uttar Pradesh
931,Shivamogga,Karnataka
932,Shivpuri,Madhya Pradesh
933,Sholavandan,Tamil Nadu
934,Sholingur,Tamil Nadu
935,Shoranur,Kerala
936,Shrigonda,Maharashtra
937,Shrirampur,Maharashtra
938,Shrirangapattana,Karnataka
939,Shujalpur,Madhya Pradesh
940,Siana,Uttar Pradesh
941,Sibsagar,Assam
942,Siddipet,Telangana
943,Sidhi,Madhya Pradesh
944,Sidhpur,Gujarat
945,Sidlaghatta,Karnataka
946,Sihor,Gujarat
947,Sihora,Madhya Pradesh
948,Sikanderpur,Uttar Pradesh
949,Sikandra Rao,Uttar Pradesh
950,Sikandrabad,Uttar Pradesh
951,Sikar,Rajasthan
952,Silao,Bihar
953,Silapathar,Assam
954,Silchar,Assam
955,Siliguri,West Bengal
956,Sillod,Maharashtra
957,Silvassa,Dadra and Nagar Haveli
958,Simdega,Jharkhand
959,Sindagi,Karnataka
960,Sindhagi,Karnataka
961,Sindhnur,Karnataka
962,Singrauli,Madhya Pradesh
963,Sinnar,Maharashtra
964,Sira,Karnataka
965,Sircilla,Telangana
966,Sirhind Fatehgarh Sahib,Punjab
967,Sirkali,Tamil Nadu
968,Sirohi,Rajasthan
969,Sironj,Madhya Pradesh
970,Sirsa,Haryana
971,Sirsaganj,Uttar Pradesh
972,Sirsi,Karnataka
973,Sirsi,Uttar Pradesh
974,Siruguppa,Karnataka
975,Sitamarhi,Bihar
976,Sitapur,Uttar Pradesh
977,Sitarganj,Uttarakhand
978,Sivaganga,Tamil Nadu
979,Sivagiri,Tamil Nadu
980,Sivakasi,Tamil Nadu
981,Siwan,Bihar
982,Sohagpur,Madhya Pradesh
983,Sohna,Haryana
984,Sojat,Rajasthan
985,Solan,Himachal Pradesh
986,Solapur,Maharashtra
987,Sonamukhi,West Bengal
988,Sonepur,Bihar
989,Songadh,Gujarat
990,Sonipat,Haryana
991,Sopore,Jammu and Kashmir
992,Soro,Odisha
993,Soron,Uttar Pradesh
994,Soyagaon,Maharashtra
995,Sri Madhopur,Rajasthan
996,Srikakulam,Andhra Pradesh
997,Srikalahasti,Andhra Pradesh
998,Srinagar,Uttarakhand
999,Srinagar,Jammu and Kashmir
1000,Srinivaspur,Karnataka
1001,Srirampore,West Bengal
1002,Srisailam Project (Right Flank Colony) Township,Andhra Pradesh
1003,Srivilliputhur,Tamil Nadu
1004,Sugauli,Bihar
1005,Sujangarh,Rajasthan
1006,Sujanpur,Punjab
1007,Sullurpeta,Andhra Pradesh
1008,Sultanganj,Bihar
1009,Sultanpur,Uttar Pradesh
1010,Sumerpur,Rajasthan
1011,Sumerpur,Uttar Pradesh
1012,Sunabeda,Odisha
1013,Sunam,Punjab
1014,Sundargarh,Odisha
1015,Sundarnagar,Himachal Pradesh
1016,Supaul,Bihar
1017,Surandai,Tamil Nadu
1018,Surapura,Karnataka
1019,Surat,Gujarat
1020,Suratgarh,Rajasthan
1021,Suri,West Bengal
1022,Suriyampalayam,Tamil Nadu
1023,Suryapet,Telangana
1024,Tadepalligudem,Andhra Pradesh
1025,Tadpatri,Andhra Pradesh
1026,Takhatgarh,Rajasthan
1027,Taki,West Bengal
1028,Talaja,Gujarat
1029,Talcher,Odisha
1030,Talegaon Dabhade,Maharashtra
1031,Talikota,Karnataka
1032,Taliparamba,Kerala
1033,Talode,Maharashtra
1034,Talwara,Punjab
1035,Tamluk,West Bengal
1036,Tanda,Uttar Pradesh
1037,Tandur,Telangana
1038,Tanuku,Andhra Pradesh
1039,Tarakeswar,West Bengal
1040,Tarana,Madhya Pradesh
1041,Taranagar,Rajasthan
1042,Taraori,Haryana
1043,Tarbha,Odisha
1044,Tarikere,Karnataka
1045,Tarn Taran,Punjab
1046,Tasgaon,Maharashtra
1047,Tehri,Uttarakhand
1048,Tekkalakote,Karnataka
1049,Tenali,Andhra Pradesh
1050,Tenkasi,Tamil Nadu
1051,Tenu dam-cum-Kathhara,Jharkhand
1052,Terdal,Karnataka
1053,Tezpur,Assam
1054,Thakurdwara,Uttar Pradesh
1055,Thammampatti,Tamil Nadu
1056,Thana Bhawan,Uttar Pradesh
1057,Thane,Maharashtra
1058,Thanesar,Haryana
1059,Thangadh,Gujarat
1060,Thanjavur,Tamil Nadu
1061,Tharad,Gujarat
1062,Tharamangalam,Tamil Nadu
1063,Tharangambadi,Tamil Nadu
1064,Theni Allinagaram,Tamil Nadu
1065,Thirumangalam,Tamil Nadu
1066,Thirupuvanam,Tamil Nadu
1067,Thiruthuraipoondi,Tamil Nadu
1068,Thiruvalla,Kerala
1069,Thiruvallur,Tamil Nadu
1070,Thiruvananthapuram,Kerala
1071,Thiruvarur,Tamil Nadu
1072,Thodupuzha,Kerala
1073,Thoubal,Manipur
1074,Thrissur,Kerala
1075,Thuraiyur,Tamil Nadu
1076,Tikamgarh,Madhya Pradesh
1077,Tilda Newra,Chhattisgarh
1078,Tilhar,Uttar Pradesh
1079,Tindivanam,Tamil Nadu
1080,Tinsukia,Assam
1081,Tiptur,Karnataka
1082,Tirora,Maharashtra
1083,Tiruchendur,Tamil Nadu
1084,Tiruchengode,Tamil Nadu
1085,Tiruchirappalli,Tamil Nadu
1086,Tirukalukundram,Tamil Nadu
1087,Tirukkoyilur,Tamil Nadu
1088,Tirunelveli,Tamil Nadu
1089,Tirupathur,Tamil Nadu
1090,Tirupathur,Tamil Nadu
1091,Tirupati,Andhra Pradesh
1092,Tiruppur,Tamil Nadu
1093,Tirur,Kerala
1094,Tiruttani,Tamil Nadu
1095,Tiruvannamalai,Tamil Nadu
1096,Tiruvethipuram,Tamil Nadu
1097,Tiruvuru,Andhra Pradesh
1098,Tirwaganj,Uttar Pradesh
1099,Titlagarh,Odisha
1100,Tittakudi,Tamil Nadu
1101,Todabhim,Rajasthan
1102,Todaraisingh,Rajasthan
1103,Tohana,Haryana
1104,Tonk,Rajasthan
1105,Tuensang,Nagaland
1106,Tuljapur,Maharashtra
1107,Tulsipur,Uttar Pradesh
1108,Tumkur,Karnataka
1109,Tumsar,Maharashtra
1110,Tundla,Uttar Pradesh
1111,Tuni,Andhra Pradesh
1112,Tura,Meghalaya
1113,Uchgaon,Maharashtra
1114,Udaipur,Tripura
1115,Udaipur,Rajasthan
1116,Udaipurwati,Rajasthan
1117,Udgir,Maharashtra
1118,Udhagamandalam,Tamil Nadu
1119,Udhampur,Jammu and Kashmir
1120,Udumalaipettai,Tamil Nadu
1121,Udupi,Karnataka
1122,Ujhani,Uttar Pradesh
1123,Ujjain,Madhya Pradesh
1124,Umarga,Maharashtra
1125,Umaria,Madhya Pradesh
1126,Umarkhed,Maharashtra
1127,Umbergaon,Gujarat
1128,Umred,Maharashtra
1129,Umreth,Gujarat
1130,Una,Gujarat
1131,Unjha,Gujarat
1132,Unnamalaikadai,Tamil Nadu
1133,Unnao,Uttar Pradesh
1134,Upleta,Gujarat
1135,Uran,Maharashtra
1136,Uran Islampur,Maharashtra
1137,Uravakonda,Andhra Pradesh
1138,Urmar Tanda,Punjab
1139,Usilampatti,Tamil Nadu
1140,Uthamapalayam,Tamil Nadu
1141,Uthiramerur,Tamil Nadu
1142,Utraula,Uttar Pradesh
1143,Vadakkuvalliyur,Tamil Nadu
1144,Vadalur,Tamil Nadu
1145,Vadgaon Kasba,Maharashtra
1146,Vadipatti,Tamil Nadu
1147,Vadnagar,Gujarat
1148,Vadodara,Gujarat
1149,Vaijapur,Maharashtra
1150,Vaikom,Kerala
1151,Valparai,Tamil Nadu
1152,Valsad,Gujarat
1153,Vandavasi,Tamil Nadu
1154,Vaniyambadi,Tamil Nadu
1155,Vapi,Gujarat
1156,Vapi,Gujarat
1157,Varanasi,Uttar Pradesh
1158,Varkala,Kerala
1159,Vasai-Virar,Maharashtra
1160,Vatakara,Kerala
1161,Vedaranyam,Tamil Nadu
1162,Vellakoil,Tamil Nadu
1163,Vellore,Tamil Nadu
1164,Venkatagiri,Andhra Pradesh
1165,Veraval,Gujarat
1166,Vidisha,Madhya Pradesh
1167,"Vijainagar, Ajmer",Rajasthan
1168,Vijapur,Gujarat
1169,Vijayapura,Karnataka
1170,Vijayawada,Andhra Pradesh
1171,Vijaypur,Madhya Pradesh
1172,Vikarabad,Telangana
1173,Vikramasingapuram,Tamil Nadu
1174,Viluppuram,Tamil Nadu
1175,Vinukonda,Andhra Pradesh
1176,Viramgam,Gujarat
1177,Virudhachalam,Tamil Nadu
1178,Virudhunagar,Tamil Nadu
1179,Visakhapatnam,Andhra Pradesh
1180,Visnagar,Gujarat
1181,Viswanatham,Tamil Nadu
1182,Vita,Maharashtra
1183,Vizianagaram,Andhra Pradesh
1184,Vrindavan,Uttar Pradesh
1185,Vyara,Gujarat
1186,Wadgaon Road,Maharashtra
1187,Wadhwan,Gujarat
1188,Wadi,Karnataka
1189,Wai,Maharashtra
1190,Wanaparthy,Telangana
1191,Wani,Maharashtra
1192,Wankaner,Gujarat
1193,Wara Seoni,Madhya Pradesh
1194,Warangal,Telangana
1195,Wardha,Maharashtra
1196,Warhapur,Uttar Pradesh
1197,Warisaliganj,Bihar
1198,Warora,Maharashtra
1199,Warud,Maharashtra
1200,Washim,Maharashtra
1201,Wokha,Nagaland
1202,Yadgir,Karnataka
1203,Yamunanagar,Haryana
1204,Yanam,Puducherry
1205,Yavatmal,Maharashtra
1206,Yawal,Maharashtra
1207,Yellandu,Telangana
1208,Yemmiganur,Andhra Pradesh
1209,Yerraguntla,Andhra Pradesh
1210,Yevla,Maharashtra
1211,Zaidpur,Uttar Pradesh
1212,Zamania,Uttar Pradesh
1213,Zira,Punjab
1214,Zirakpur,Punjab
1215,Zunheboto,Nagaland
